archetype,flow_type,material_name,ei_activity,role_process_stage,value,unit,reference flow,source
Au–Ag free-milling,Materials,Activated carbon,"activated carbon, granular",Adsorption of Au from solution (CIP/CIL),0.05,kg,t ore processed,911Metallurgist
Au–Ag free-milling,Materials,Grinding media,"market for steel, low-alloyed",Ore size reduction,0.71,kg,t ore processed,Norgate & Haque (2012)
Au–Ag free-milling,Materials,Lime (CaO),market for lime,pH control during leach & CIP,1.0,kg,t ore processed,Marsden & House; ScienceDirect review
Au–Ag free-milling,Materials,Oxygen / air,"market for oxygen, liquid",Oxidant for cyanidation,0.5,kg,t ore processed,Marsden & House
Au–Ag free-milling,Materials,Sodium cyanide (NaCN),market for sodium cyanide,Gold dissolution during leaching,0.3,kg,t ore processed,JXSC Gold Leaching Review
Au–Ag free-milling,Water,Water consumption,,,0.6237369273366383,m3,t ore processed,
Au–Ag polymetallic,Materials,Activated carbon,"activated carbon, granular",Gold adsorption,0.05,kg,t ore processed,911Metallurgist
Au–Ag polymetallic,Materials,Copper sulfate,market for copper sulfate,Zn activation,0.1,kg,t ore processed,Cu–Zn flotation literature
Au–Ag polymetallic,Materials,Frother,"market for chemical, organic",Flotation,0.02,kg,t ore processed,Wills & Finch
Au–Ag polymetallic,Materials,Lime (CaO),market for lime,pH control in flotation + CIP,1.5,kg,t ore processed,LaRonde metallurgical reports
Au–Ag polymetallic,Materials,Sodium cyanide (NaCN),market for sodium cyanide,Leaching of gold in flotation tails,0.3,kg,t ore processed,LaRonde flowsheet
Au–Ag polymetallic,Water,Water consumption,,,0.46995527348219646,m3,t ore processed,
Au–Ag polymetallic,Materials,Xanthate collector,market for sodium ethyl xanthate,Cu/Zn flotation,0.12,kg,t ore processed,Wills & Finch
Au–Ag refractory,Materials,Activated carbon,"activated carbon, granular",Gold adsorption in CIP/CIL,0.05,kg,t ore processed,911Metallurgist
Au–Ag refractory,Materials,Frother (MIBC),"market for chemical, organic",Flotation froth stabilization,0.02,kg,t ore processed,Wills & Finch
Au–Ag refractory,Materials,Lime (CaO),market for lime,pH control + neutralisation after oxidation,2.0,kg,t ore processed,Marsden & House; POX literature
Au–Ag refractory,Materials,Limestone / lime,market for lime,Acid neutralisation after POX,1.5,kg,t ore processed,POX flowsheets
Au–Ag refractory,Materials,Oxygen,"market for oxygen, liquid",Sulfide oxidation (POX),2.0,kg,t ore processed,Red Lake POX data
Au–Ag refractory,Materials,Sodium cyanide (NaCN),market for sodium cyanide,Leaching of free + oxidized gold,0.45,kg,t ore processed,Marsden & House; Red Lake tech docs
Au–Ag refractory,Water,Water consumption,,,3.04994054696789,m3,t ore processed,
Au–Ag refractory,Materials,Xanthate collector,market for sodium ethyl xanthate,Sulfide flotation (refractory concentrate),0.08,kg,t ore processed,Wills & Finch
Cu polymetallic,Materials,Copper sulfate,market for copper sulfate,Zn activation,0.1,kg,t ore processed,Cu–Zn flotation
Cu polymetallic,Materials,Frother,"market for chemical, organic",Flotation,0.03,kg,t ore processed,Wills & Finch
Cu polymetallic,Materials,Lime (CaO),market for lime,pH control (Cu + Mo/Zn circuits),1.6,kg,t ore processed,Cu–Mo flotation studies
Cu polymetallic,Materials,Sodium cyanide (NaCN),market for sodium cyanide,Zn/pyrite depression (Cu–Zn),0.03,kg,t ore processed,Kidd Creek practice
Cu polymetallic,Materials,Sodium hydrosulfide (NaHS),market for sodium hydrosulfide,Cu depression (Mo circuit),0.3,kg,t ore processed,Mo separation literature
Cu polymetallic,Water,Water consumption,,,0.204666666666666,m3,t ore processed,
Cu polymetallic,Materials,Xanthate collector,market for sodium ethyl xanthate,Cu + Zn/Mo flotation,0.15,kg,t ore processed,Wills & Finch
Cu Porphyry,Materials,Flocculant,market for polyacrylamide,Tailings thickening,0.005,kg,t ore processed,Thickener design manuals
Cu Porphyry,Materials,Frother,"market for chemical, organic",Flotation,0.02,kg,t ore processed,Wills & Finch
Cu Porphyry,Materials,Lime (CaO),market for lime,"pH control, pyrite depression",1.2,kg,t ore processed,Caserones study
Cu Porphyry,Water,Water consumption,,,0.9234686820974333,m3,t ore processed,
Cu Porphyry,Materials,Xanthate collector,market for sodium ethyl xanthate,Cu flotation,0.07,kg,t ore processed,Wills & Finch
High-grade U mine + mill,Materials,Ammonia,"market for ammonia, anhydrous, liquid",Yellowcake precipitation (ADU),6.0,kg,t ore processed,Uranium metallurgy handbooks
High-grade U mine + mill,Materials,Hydrogen peroxide (H₂O₂),"market for hydrogen peroxide, without water, in 50% solution state",Oxidation of U(IV) to U(VI),3.0,kg,t ore processed,McClean Lake process description
